item,price,quantity,sales
Laptop,1200.5,50,250
Smartphone,800.25,100,500
Tablet,400.75,75,300
Headphones,150.2,200,400
Camera,700.8,50,150
Smartwatch,300.6,150,350
Printer,250.45,100,200
Gaming Console,450.3,80,180
TV,900.75,60,240
Router,120.9,120,300
External Hard Drive,80.4,200,400
Fitness Tracker,100.35,300,600
Bluetooth Speaker,50.7,250,500
Projector,600.55,40,120
Desktop Computer,1500.9,30,90
Monitor,300.75,100,250
Electric Scooter,600.8,50,200
Electric Bike,1200.6,30,100
Smart Refrigerator,1500.25,20,80
Air Purifier,300.45,80,160
Wireless Earbuds,100.75,150,350
Security Camera,200.3,100,300
GPS Tracker,50.6,200,400
Drone,700.9,50,150
Virtual Reality Headset,400.65,60,180
Wireless Charger,350.5,300,600
Electric Toothbrush,80.2,200,400
Robot Vacuum Cleaner,250.6,70,210
Home Assistant Device,150.4,120,360
Smart Doorbell,200.75,90,270
